dataset,shape,pos_rate,model,f1,pr_auc,roc_auc
breast_cancer,"569, 30",0.3726,BaselineLogisticRegression,0.9375,0.9885,0.9916
breast_cancer,"569, 30",0.3726,BaselineNaiveBayes,0.9143,0.9695,0.9862
breast_cancer,"569, 30",0.3726,BaselineLDA,0.9371,0.9907,0.9929
breast_cancer,"569, 30",0.3726,BaselineElasticNet,0.8534,nan,nan
breast_cancer,"569, 30",0.3726,BaselineKernelSVM,0.8721,0.9670,0.9757
breast_cancer,"569, 30",0.3726,BaselineRandomForest,0.9381,0.9869,0.9885
breast_cancer,"569, 30",0.3726,BaselineMLP,0.9015,0.9737,0.9841
breast_cancer,"569, 30",0.3726,PolynomialFeaturesClassifier[logistic],0.9572,0.9908,0.9911
breast_cancer,"569, 30",0.3726,PolynomialFeaturesClassifier[sgd],0.9498,0.9717,0.9843
breast_cancer,"569, 30",0.3726,PolynomialFeaturesClassifier[lda],0.5854,0.5560,0.6444
breast_cancer,"569, 30",0.3726,PolynomialFeaturesClassifier[nb],0.8988,0.9165,0.9677
breast_cancer,"569, 30",0.3726,SplineFeaturesClassifier[logistic],0.9638,0.9952,0.9962
breast_cancer,"569, 30",0.3726,SplineFeaturesClassifier[sgd],0.9548,0.9891,0.9938
breast_cancer,"569, 30",0.3726,SplineFeaturesClassifier[lda],0.9002,0.9253,0.9392
breast_cancer,"569, 30",0.3726,SplineFeaturesClassifier[nb],0.9113,0.9584,0.9763
breast_cancer,"569, 30",0.3726,LinearBoostClassifier[logistic],0.9389,0.9825,0.9880
breast_cancer,"569, 30",0.3726,LinearBoostClassifier[sgd],0.9568,0.9839,0.9888
breast_cancer,"569, 30",0.3726,LinearBoostClassifier[nb],0.9431,0.9852,0.9859
breast_cancer,"569, 30",0.3726,BaggingFeatureSubspaceClassifier[logistic],0.9657,0.9950,0.9959
breast_cancer,"569, 30",0.3726,BaggingFeatureSubspaceClassifier[sgd],0.9665,0.9936,0.9952
breast_cancer,"569, 30",0.3726,BaggingFeatureSubspaceClassifier[lda],0.9397,0.9939,0.9954
breast_cancer,"569, 30",0.3726,BaggingFeatureSubspaceClassifier[nb],0.9045,0.9828,0.9880
breast_cancer,"569, 30",0.3726,MaxOfLinearClassifier[logistic],0.9589,0.9936,0.9948
breast_cancer,"569, 30",0.3726,MaxOfLinearClassifier[sgd],0.9601,0.9770,0.9876
breast_cancer,"569, 30",0.3726,MaxOfLinearClassifier[lda],0.9371,0.9907,0.9929
breast_cancer,"569, 30",0.3726,MaxOfLinearClassifier[nb],0.9136,0.9847,0.9892
breast_cancer,"569, 30",0.3726,CascadeLinearClassifier[logistic],0.9592,0.9893,0.9891
breast_cancer,"569, 30",0.3726,CascadeLinearClassifier[sgd],0.9581,0.9702,0.9850
breast_cancer,"569, 30",0.3726,CascadeLinearClassifier[lda],0.9373,0.9850,0.9874
breast_cancer,"569, 30",0.3726,CascadeLinearClassifier[nb],0.9045,0.9480,0.9783
breast_cancer,"569, 30",0.3726,PiecewiseLinearClassifier[logistic],0.9591,0.9916,0.9920
breast_cancer,"569, 30",0.3726,PiecewiseLinearClassifier[sgd],0.9510,0.9781,0.9858
breast_cancer,"569, 30",0.3726,PiecewiseLinearClassifier[lda],0.9205,0.9723,0.9827
breast_cancer,"569, 30",0.3726,PiecewiseLinearClassifier[nb],0.9123,0.9867,0.9882
breast_cancer,"569, 30",0.3726,MixtureOfLinearExpertsClassifier[logistic],0.9710,0.9951,0.9960
breast_cancer,"569, 30",0.3726,MixtureOfLinearExpertsClassifier[sgd],0.9438,0.9906,0.9915
breast_cancer,"569, 30",0.3726,MixtureOfLinearExpertsClassifier[lda],0.9268,0.9733,0.9795
breast_cancer,"569, 30",0.3726,MixtureOfLinearExpertsClassifier[nb],0.9146,0.9721,0.9837
breast_cancer,"569, 30",0.3726,FuzzyLogicLinearClassifier[logistic],0.9663,0.9952,0.9960
breast_cancer,"569, 30",0.3726,FuzzyLogicLinearClassifier[sgd],0.9611,0.9804,0.9734
breast_cancer,"569, 30",0.3726,FuzzyLogicLinearClassifier[lda],0.9662,0.9831,0.9937
breast_cancer,"569, 30",0.3726,FuzzyLogicLinearClassifier[nb],0.9010,0.9125,0.9555
bank_marketing,"45211, 16",0.1170,BaselineLogisticRegression,0.3185,0.4670,0.8708
bank_marketing,"45211, 16",0.1170,BaselineNaiveBayes,0.4062,0.3604,0.8152
bank_marketing,"45211, 16",0.1170,BaselineLDA,0.3813,0.4627,0.8720
bank_marketing,"45211, 16",0.1170,BaselineElasticNet,0.0000,nan,nan
bank_marketing,"45211, 16",0.1170,BaselineKernelSVM,0.3844,0.5318,0.8525
bank_marketing,"45211, 16",0.1170,BaselineRandomForest,0.5090,0.6025,0.9273
bank_marketing,"45211, 16",0.1170,BaselineMLP,0.4626,0.5460,0.9018
bank_marketing,"45211, 16",0.1170,PolynomialFeaturesClassifier[logistic],0.4384,0.5260,0.8951
bank_marketing,"45211, 16",0.1170,PolynomialFeaturesClassifier[sgd],0.4330,0.4726,0.8782
bank_marketing,"45211, 16",0.1170,PolynomialFeaturesClassifier[lda],0.4960,0.5216,0.8933
bank_marketing,"45211, 16",0.1170,PolynomialFeaturesClassifier[nb],0.4064,0.3252,0.7963
bank_marketing,"45211, 16",0.1170,SplineFeaturesClassifier[logistic],0.4635,0.5518,0.9022
bank_marketing,"45211, 16",0.1170,SplineFeaturesClassifier[sgd],0.4753,0.5196,0.8871
bank_marketing,"45211, 16",0.1170,SplineFeaturesClassifier[lda],0.5164,0.5479,0.9012
bank_marketing,"45211, 16",0.1170,SplineFeaturesClassifier[nb],0.2493,0.3352,0.8196
bank_marketing,"45211, 16",0.1170,LinearBoostClassifier[logistic],0.5133,0.4205,0.8579
bank_marketing,"45211, 16",0.1170,LinearBoostClassifier[sgd],0.1628,0.3986,0.8585
bank_marketing,"45211, 16",0.1170,LinearBoostClassifier[nb],0.3576,0.3305,0.7696
bank_marketing,"45211, 16",0.1170,BaggingFeatureSubspaceClassifier[logistic],0.2309,0.4657,0.8722
bank_marketing,"45211, 16",0.1170,BaggingFeatureSubspaceClassifier[sgd],0.2281,0.4608,0.8691
bank_marketing,"45211, 16",0.1170,BaggingFeatureSubspaceClassifier[lda],0.3209,0.4598,0.8720
bank_marketing,"45211, 16",0.1170,BaggingFeatureSubspaceClassifier[nb],0.4114,0.4013,0.8340
bank_marketing,"45211, 16",0.1170,MaxOfLinearClassifier[logistic],0.3166,0.4696,0.8716
bank_marketing,"45211, 16",0.1170,MaxOfLinearClassifier[sgd],0.2848,0.4503,0.8479
bank_marketing,"45211, 16",0.1170,MaxOfLinearClassifier[lda],0.3813,0.4627,0.8720
bank_marketing,"45211, 16",0.1170,MaxOfLinearClassifier[nb],0.4416,0.3939,0.8216
bank_marketing,"45211, 16",0.1170,CascadeLinearClassifier[logistic],0.3082,0.4683,0.8729
bank_marketing,"45211, 16",0.1170,CascadeLinearClassifier[sgd],0.3476,0.4562,0.8650
bank_marketing,"45211, 16",0.1170,CascadeLinearClassifier[lda],0.4276,0.4674,0.8727
bank_marketing,"45211, 16",0.1170,CascadeLinearClassifier[nb],0.4220,0.3600,0.8152
bank_marketing,"45211, 16",0.1170,PiecewiseLinearClassifier[logistic],0.4176,0.5126,0.8859
bank_marketing,"45211, 16",0.1170,PiecewiseLinearClassifier[sgd],0.3908,0.4783,0.8617
bank_marketing,"45211, 16",0.1170,PiecewiseLinearClassifier[lda],0.4756,0.5051,0.8836
bank_marketing,"45211, 16",0.1170,PiecewiseLinearClassifier[nb],0.4409,0.4221,0.8356
bank_marketing,"45211, 16",0.1170,MixtureOfLinearExpertsClassifier[logistic],0.3351,0.4730,0.8763
bank_marketing,"45211, 16",0.1170,MixtureOfLinearExpertsClassifier[sgd],0.3420,0.4560,0.8643
bank_marketing,"45211, 16",0.1170,MixtureOfLinearExpertsClassifier[lda],0.3937,0.4564,0.8685
bank_marketing,"45211, 16",0.1170,MixtureOfLinearExpertsClassifier[nb],0.3850,0.3924,0.8312
bank_marketing,"45211, 16",0.1170,FuzzyLogicLinearClassifier[logistic],0.2935,0.4235,0.8247
bank_marketing,"45211, 16",0.1170,FuzzyLogicLinearClassifier[sgd],0.2782,0.4180,0.8223
bank_marketing,"45211, 16",0.1170,FuzzyLogicLinearClassifier[lda],0.3182,0.4348,0.8344
bank_marketing,"45211, 16",0.1170,FuzzyLogicLinearClassifier[nb],0.2676,0.3383,0.7986
adult,"48842, 14",0.2393,BaselineLogisticRegression,0.5525,0.6886,0.8544
adult,"48842, 14",0.2393,BaselineNaiveBayes,0.4467,0.6812,0.8561
adult,"48842, 14",0.2393,BaselineLDA,0.5144,0.6434,0.8412
adult,"48842, 14",0.2393,BaselineElasticNet,0.0000,nan,nan
adult,"48842, 14",0.2393,BaselineKernelSVM,0.6370,0.7477,0.8911
adult,"48842, 14",0.2393,BaselineRandomForest,0.6765,0.7814,0.9069
adult,"48842, 14",0.2393,BaselineMLP,0.6504,0.7681,0.9053
adult,"48842, 14",0.2393,PolynomialFeaturesClassifier[logistic],0.6499,0.7629,0.9033
adult,"48842, 14",0.2393,PolynomialFeaturesClassifier[sgd],0.6392,0.7455,0.8964
adult,"48842, 14",0.2393,PolynomialFeaturesClassifier[lda],0.6299,0.7495,0.8982
adult,"48842, 14",0.2393,PolynomialFeaturesClassifier[nb],0.4140,0.6002,0.8212
adult,"48842, 14",0.2393,SplineFeaturesClassifier[logistic],0.6690,0.7858,0.9123
adult,"48842, 14",0.2393,SplineFeaturesClassifier[sgd],0.6661,0.7758,0.9082
adult,"48842, 14",0.2393,SplineFeaturesClassifier[lda],0.6486,0.7710,0.9052
adult,"48842, 14",0.2393,SplineFeaturesClassifier[nb],0.6179,0.6791,0.8732
adult,"48842, 14",0.2393,LinearBoostClassifier[logistic],0.3831,0.5449,0.8218
adult,"48842, 14",0.2393,LinearBoostClassifier[sgd],0.3957,0.5488,0.8225
adult,"48842, 14",0.2393,LinearBoostClassifier[nb],0.5295,0.6612,0.8580
adult,"48842, 14",0.2393,BaggingFeatureSubspaceClassifier[logistic],0.5034,0.6849,0.8522
adult,"48842, 14",0.2393,BaggingFeatureSubspaceClassifier[sgd],0.5025,0.6836,0.8517
adult,"48842, 14",0.2393,BaggingFeatureSubspaceClassifier[lda],0.4337,0.6418,0.8399
adult,"48842, 14",0.2393,BaggingFeatureSubspaceClassifier[nb],0.4272,0.6613,0.8550
adult,"48842, 14",0.2393,MaxOfLinearClassifier[logistic],0.5533,0.6826,0.8498
adult,"48842, 14",0.2393,MaxOfLinearClassifier[sgd],0.5603,0.6799,0.8497
adult,"48842, 14",0.2393,MaxOfLinearClassifier[lda],0.5144,0.6434,0.8412
adult,"48842, 14",0.2393,MaxOfLinearClassifier[nb],0.4488,0.6814,0.8562
adult,"48842, 14",0.2393,CascadeLinearClassifier[logistic],0.5519,0.6886,0.8544
adult,"48842, 14",0.2393,CascadeLinearClassifier[sgd],0.5537,0.6765,0.8487
adult,"48842, 14",0.2393,CascadeLinearClassifier[lda],0.5566,0.6569,0.8459
adult,"48842, 14",0.2393,CascadeLinearClassifier[nb],0.5067,0.6790,0.8560
adult,"48842, 14",0.2393,PiecewiseLinearClassifier[logistic],0.6118,0.7337,0.8861
adult,"48842, 14",0.2393,PiecewiseLinearClassifier[sgd],0.6250,0.7258,0.8828
adult,"48842, 14",0.2393,PiecewiseLinearClassifier[lda],0.5770,0.6942,0.8761
