dataset,model,n_trials,best_inner_f1,f1,pr_auc
breast_cancer,BaselineLogisticRegression,50,0.9549,0.9549,0.9917
breast_cancer,BaselineNaiveBayes,50,0.9150,0.9150,0.9691
breast_cancer,BaselineLDA,50,0.9371,0.9371,0.9907
breast_cancer,BaselineElasticNet,50,0.9428,0.9428,nan
breast_cancer,BaselineKernelSVM,50,0.9303,0.9303,0.9864
breast_cancer,BaselineRandomForest,50,0.9402,0.9402,0.9871
breast_cancer,BaselineXGBoost,50,0.9624,0.9624,0.9929
breast_cancer,BaselineLightGBM,50,0.9660,0.9660,0.9924
breast_cancer,PolynomialFeaturesClassifier[logistic],50,0.9708,0.9708,0.9934
breast_cancer,PolynomialFeaturesClassifier[sgd],50,0.9690,0.9690,0.9789
breast_cancer,PolynomialFeaturesClassifier[lda],50,0.7637,0.7637,0.7721
breast_cancer,PolynomialFeaturesClassifier[nb],50,0.8988,0.8988,0.9164
breast_cancer,SplineFeaturesClassifier[logistic],50,0.9734,0.9734,0.9957
breast_cancer,SplineFeaturesClassifier[sgd],50,0.9713,0.9713,0.9817
breast_cancer,SplineFeaturesClassifier[lda],50,0.9460,0.9460,0.9836
breast_cancer,SplineFeaturesClassifier[nb],50,0.9331,0.9331,0.9571
breast_cancer,LinearBoostClassifier[logistic],50,0.9714,0.9714,0.9750
breast_cancer,LinearBoostClassifier[sgd],50,0.9682,0.9682,0.9726
breast_cancer,LinearBoostClassifier[nb],50,0.9572,0.9572,0.9736
breast_cancer,BaggingFeatureSubspaceClassifier[logistic],50,0.9735,0.9735,0.9951
breast_cancer,BaggingFeatureSubspaceClassifier[sgd],50,0.9785,0.9785,0.9949
breast_cancer,BaggingFeatureSubspaceClassifier[lda],50,0.9474,0.9474,0.9944
breast_cancer,BaggingFeatureSubspaceClassifier[nb],50,0.9143,0.9143,0.9832
breast_cancer,MaxOfLinearClassifier[logistic],50,0.9682,0.9682,0.9951
breast_cancer,MaxOfLinearClassifier[sgd],50,0.9708,0.9708,0.9944
breast_cancer,MaxOfLinearClassifier[lda],50,0.9371,0.9371,0.9907
breast_cancer,MaxOfLinearClassifier[nb],50,0.9160,0.9160,0.9855
breast_cancer,CascadeLinearClassifier[logistic],50,0.9664,0.9664,0.9934
breast_cancer,CascadeLinearClassifier[sgd],50,0.9712,0.9712,0.9935
breast_cancer,CascadeLinearClassifier[lda],50,0.9396,0.9396,0.9887
breast_cancer,CascadeLinearClassifier[nb],50,0.9045,0.9045,0.9479
breast_cancer,PiecewiseLinearClassifier[logistic],50,0.9663,0.9663,0.9920
breast_cancer,PiecewiseLinearClassifier[sgd],50,0.9688,0.9688,0.9917
breast_cancer,PiecewiseLinearClassifier[lda],50,0.9528,0.9528,0.9871
breast_cancer,PiecewiseLinearClassifier[nb],50,0.9305,0.9305,0.9833
breast_cancer,MixtureOfLinearExpertsClassifier[logistic],50,0.9734,0.9734,0.9952
breast_cancer,MixtureOfLinearExpertsClassifier[sgd],50,0.9685,0.9685,0.9954
breast_cancer,MixtureOfLinearExpertsClassifier[lda],50,0.9344,0.9344,0.9747
breast_cancer,MixtureOfLinearExpertsClassifier[nb],50,0.9296,0.9296,0.9838
breast_cancer,FuzzyLogicLinearClassifier[logistic],50,0.9735,0.9735,0.9952
breast_cancer,FuzzyLogicLinearClassifier[sgd],50,0.9740,0.9740,0.9944
breast_cancer,FuzzyLogicLinearClassifier[lda],50,0.9662,0.9662,0.9831
breast_cancer,FuzzyLogicLinearClassifier[nb],50,0.9099,0.9099,0.9740
bank_marketing,BaselineLogisticRegression,50,0.3185,0.3185,0.4670
bank_marketing,BaselineNaiveBayes,50,0.4070,0.4070,0.3605
bank_marketing,BaselineLDA,50,0.3813,0.3813,0.4627
bank_marketing,BaselineElasticNet,50,0.2026,0.2026,nan
bank_marketing,BaselineKernelSVM,50,0.4683,0.4683,0.4450
bank_marketing,BaselineRandomForest,50,0.5144,0.5144,0.6117
bank_marketing,BaselineXGBoost,50,0.6255,0.6255,0.6183
bank_marketing,BaselineLightGBM,50,0.6260,0.6260,0.6288
bank_marketing,PolynomialFeaturesClassifier[logistic],50,0.4748,0.4748,0.5137
bank_marketing,PolynomialFeaturesClassifier[sgd],50,0.4763,0.4763,0.4918
bank_marketing,PolynomialFeaturesClassifier[lda],50,0.5152,0.5152,0.5286
bank_marketing,PolynomialFeaturesClassifier[nb],50,0.4066,0.4066,0.3253
bank_marketing,SplineFeaturesClassifier[logistic],50,0.4872,0.4872,0.5755
bank_marketing,SplineFeaturesClassifier[sgd],50,0.4941,0.4941,0.5041
bank_marketing,SplineFeaturesClassifier[lda],50,0.5382,0.5382,0.5655
bank_marketing,SplineFeaturesClassifier[nb],50,0.4677,0.4677,0.4191
bank_marketing,LinearBoostClassifier[logistic],50,0.4955,0.4955,0.4099
bank_marketing,LinearBoostClassifier[sgd],50,0.4663,0.4663,0.3120
bank_marketing,LinearBoostClassifier[nb],50,0.4791,0.4791,0.3541
bank_marketing,BaggingFeatureSubspaceClassifier[logistic],50,0.3000,0.3000,0.4674
bank_marketing,BaggingFeatureSubspaceClassifier[sgd],50,0.3076,0.3076,0.4530
bank_marketing,BaggingFeatureSubspaceClassifier[lda],50,0.3710,0.3710,0.4634
